Date,Open,High,Low,Close,Volume,Adj Close
2015-06-19,8.10071,8.10071,8.10071,8.10071,000,8.10071
2015-06-17,8.04929,8.04929,8.04929,8.04929,000,8.04929
2015-06-16,8.03841,8.03841,8.03841,8.03841,000,8.03841
2015-06-15,8.07108,8.07108,8.07108,8.07108,000,8.07108
2015-06-12,8.07946,8.07946,8.07946,8.07946,000,8.07946
2015-06-11,8.08563,8.08563,8.08563,8.08563,000,8.08563
2015-06-10,8.07905,8.07905,8.07905,8.07905,000,8.07905
2015-06-09,8.05954,8.05954,8.05954,8.05954,000,8.05954
2015-06-08,8.04787,8.04787,8.04787,8.04787,000,8.04787
2015-06-05,8.04115,8.04115,8.04115,8.04115,000,8.04115
2015-06-04,8.04516,8.04516,8.04516,8.04516,000,8.04516
2015-06-03,8.06926,8.06926,8.06926,8.06926,000,8.06926
2015-06-02,8.04415,8.04415,8.04415,8.04415,000,8.04415
2015-06-01,8.06901,8.06901,8.06901,8.06901,000,8.06901
2015-05-29,8.0825,8.0825,8.0825,8.0825,000,8.0825
2015-05-28,8.09553,8.09553,8.09553,8.09553,000,8.09553
2015-05-27,8.04515,8.04515,8.04515,8.04515,000,8.04515
2015-05-22,8.13293,8.13293,8.13293,8.13293,000,8.13293
2015-05-21,8.15898,8.15898,8.15898,8.15898,000,8.15898
2015-05-20,8.1455,8.1455,8.1455,8.1455,000,8.1455
2015-05-19,8.15506,8.15506,8.15506,8.15506,000,8.15506
2015-05-18,8.161,8.161,8.161,8.161,000,8.161
2015-05-15,8.15786,8.15786,8.15786,8.15786,000,8.15786
2015-05-14,8.10617,8.10617,8.10617,8.10617,000,8.10617
2015-05-13,8.06683,8.06683,8.06683,8.06683,000,8.06683
2015-05-12,8.08937,8.08937,8.08937,8.08937,000,8.08937
2015-05-11,8.0884,8.0884,8.0884,8.0884,000,8.0884
2015-05-08,8.04038,8.04038,8.04038,8.04038,000,8.04038
2015-05-07,8.04797,8.04797,8.04797,8.04797,000,8.04797
2015-05-06,8.04556,8.04556,8.04556,8.04556,000,8.04556
2015-05-05,8.04882,8.04882,8.04882,8.04882,000,8.04882
2015-05-04,7.98006,7.98006,7.98006,7.98006,000,7.98006
2015-04-30,8.03596,8.03596,8.03596,8.03596,000,8.03596
2015-04-29,8.10157,8.10157,8.10157,8.10157,000,8.10157
2015-04-28,8.12538,8.12538,8.12538,8.12538,000,8.12538
2015-04-27,8.12049,8.12049,8.12049,8.12049,000,8.12049
2015-04-24,8.06167,8.06167,8.06167,8.06167,000,8.06167
2015-04-23,8.02563,8.02563,8.02563,8.02563,000,8.02563
2015-04-22,8.04434,8.04434,8.04434,8.04434,000,8.04434
2015-04-21,8.02362,8.02362,8.02362,8.02362,000,8.02362
2015-04-20,8.00061,8.00061,8.00061,8.00061,000,8.00061
2015-04-17,8.04781,8.04781,8.04781,8.04781,000,8.04781
2015-04-16,8.00286,8.00286,8.00286,8.00286,000,8.00286
2015-04-15,7.98427,7.98427,7.98427,7.98427,000,7.98427
2015-04-14,7.97946,7.97946,7.97946,7.97946,000,7.97946
2015-04-13,7.96072,7.96072,7.96072,7.96072,000,7.96072
2015-04-10,7.96596,7.96596,7.96596,7.96596,000,7.96596
2015-04-08,7.99659,7.99659,7.99659,7.99659,000,7.99659
2015-04-07,7.97302,7.97302,7.97302,7.97302,000,7.97302
2015-04-06,7.87586,7.87586,7.87586,7.87586,000,7.87586
2015-04-01,7.85917,7.85917,7.85917,7.85917,000,7.85917
2015-03-31,7.8517,7.8517,7.8517,7.8517,000,7.8517
2015-03-30,7.81452,7.81452,7.81452,7.81452,000,7.81452
2015-03-27,7.77009,7.77009,7.77009,7.77009,000,7.77009
2015-03-26,7.82939,7.82939,7.82939,7.82939,000,7.82939
2015-03-25,7.86641,7.86641,7.86641,7.86641,000,7.86641
2015-03-24,7.86149,7.86149,7.86149,7.86149,000,7.86149
2015-03-23,7.86331,7.86331,7.86331,7.86331,000,7.86331
2015-03-20,7.87056,7.87056,7.87056,7.87056,000,7.87056
2015-03-18,7.85846,7.85846,7.85846,7.85846,000,7.85846
2015-03-17,7.89101,7.89101,7.89101,7.89101,000,7.89101
2015-03-13,7.89775,7.89775,7.89775,7.89775,000,7.89775
2015-03-11,7.71098,7.71098,7.71098,7.71098,000,7.71098
2015-03-10,7.75741,7.75741,7.75741,7.75741,000,7.75741
2015-03-09,7.76235,7.76235,7.76235,7.76235,000,7.76235
2015-03-06,7.80156,7.80156,7.80156,7.80156,000,7.80156
2015-03-05,7.77283,7.77283,7.77283,7.77283,000,7.77283
2015-03-04,7.82032,7.82032,7.82032,7.82032,000,7.82032
2015-03-03,7.85613,7.85613,7.85613,7.85613,000,7.85613
2015-03-02,7.92271,7.92271,7.92271,7.92271,000,7.92271
2015-02-27,7.93476,7.93476,7.93476,7.93476,000,7.93476
2015-02-26,7.86849,7.86849,7.86849,7.86849,000,7.86849
2015-02-25,7.8886,7.8886,7.8886,7.8886,000,7.8886
2015-02-24,7.84334,7.84334,7.84334,7.84334,000,7.84334
2015-02-23,7.84514,7.84514,7.84514,7.84514,000,7.84514
